term,candidate,topic,topic_code,item,word_weight,expense_weight,add_weight,total_weight
2016,hillary,1,H1,office,0.087,0.727,0.063,63000000
2016,hillary,1,H1,production,0.046,0.727,0.033,33000000
2016,hillary,2,H2,payroll,0.405,0.727,0.294,294000000
2016,hillary,2,H2,phone,0.384,0.727,0.279,279000000
2016,hillary,2,H2,shipping,0.047,0.727,0.034,34000000
2016,hillary,2,H2,fee,0.035,0.727,0.025,25000000
2016,hillary,3,H3,travel,0.746,0.727,0.542,542000000
2016,hillary,3,H3,subsistence,0.074,0.727,0.054,54000000
2016,hillary,3,H3,catering,0.042,0.727,0.031,31000000
2016,hillary,3,H3,food,0.042,0.727,0.031,31000000
2020,trump,0,T0,fee,0.301,0.632,0.19,190000000
2020,trump,0,T0,transaction,0.272,0.632,0.172,172000000
2020,trump,0,T0,office,0.115,0.632,0.073,73000000
2020,trump,0,T0,supply,0.108,0.632,0.068,68000000
2020,trump,0,T0,travel,0.03,0.632,0.019,19000000
2020,trump,0,T0,required,0.016,0.632,0.01,10000000
2020,trump,1,T1,air,0.501,0.632,0.317,317000000
2020,trump,1,T1,food,0.082,0.632,0.052,52000000
2020,trump,1,T1,credit,0.061,0.632,0.039,39000000
2020,trump,1,T1,expense,0.052,0.632,0.033,33000000
2020,trump,1,T1,meeting,0.042,0.632,0.027,27000000
2020,trump,1,T1,meal,0.042,0.632,0.027,27000000
2020,trump,2,T2,payroll,0.457,0.632,0.289,289000000
2020,trump,2,T2,consulting,0.107,0.632,0.068,68000000
2020,trump,2,T2,service,0.082,0.632,0.052,52000000
2020,trump,2,T2,software,0.066,0.632,0.042,42000000
2020,trump,2,T2,advance,0.066,0.632,0.042,42000000
2020,trump,2,T2,processing,0.019,0.632,0.012,12000000
2020,trump,3,T3,ground,0.191,0.632,0.121,121000000
2020,trump,3,T3,transportation,0.191,0.632,0.121,121000000
2020,trump,3,T3,rental,0.183,0.632,0.116,116000000
2020,trump,3,T3,car,0.167,0.632,0.106,106000000
2020,trump,3,T3,toll,0.043,0.632,0.027,27000000
2020,trump,3,T3,fuel,0.035,0.632,0.022,22000000
2020,trump,4,T4,lodging,0.235,0.632,0.149,149000000
2020,trump,4,T4,merchant,0.102,0.632,0.064,64000000
2020,trump,4,T4,fee,0.101,0.632,0.064,64000000
2020,trump,4,T4,expense,0.078,0.632,0.049,49000000
2020,trump,4,T4,service,0.047,0.632,0.03,30000000
2020,trump,4,T4,delivery,0.047,0.632,0.03,30000000
2020,biden,0,B0,credit,0.163,1.043,0.17,170000000
2020,biden,0,B0,consulting,0.117,1.043,0.122,122000000
2020,biden,0,B0,lodging,0.073,1.043,0.076,76000000
2020,biden,0,B0,utility,0.072,1.043,0.075,75000000
2020,biden,0,B0,strategic,0.05,1.043,0.052,52000000
2020,biden,0,B0,food,0.027,1.043,0.028,28000000
2020,biden,1,B1,supply,0.281,1.043,0.293,293000000
2020,biden,1,B1,office,0.246,1.043,0.257,257000000
2020,biden,1,B1,fee,0.084,1.043,0.088,88000000
2020,biden,1,B1,processing,0.084,1.043,0.088,88000000
2020,biden,1,B1,subscription,0.049,1.043,0.051,51000000
2020,biden,1,B1,event,0.049,1.043,0.051,51000000
2020,biden,2,B2,travel,0.312,1.043,0.326,326000000
2020,biden,2,B2,lodging,0.168,1.043,0.175,175000000
2020,biden,2,B2,rental,0.062,1.043,0.065,65000000
2020,biden,2,B2,medium,0.047,1.043,0.049,49000000
2020,biden,2,B2,vehicle,0.047,1.043,0.049,49000000
2020,biden,2,B2,production,0.047,1.043,0.049,49000000
2020,biden,3,B3,payroll,0.689,1.043,0.719,719000000
2020,biden,3,B3,printing,0.058,1.043,0.061,61000000
2020,biden,3,B3,copying,0.05,1.043,0.052,52000000
2020,biden,3,B3,license,0.018,1.043,0.019,19000000
2020,biden,3,B3,internet,0.018,1.043,0.019,19000000
2020,biden,3,B3,polling,0.018,1.043,0.019,19000000
2020,biden,4,B4,service,0.139,1.043,0.145,145000000
2020,biden,4,B4,parking,0.105,1.043,0.11,110000000
2020,biden,4,B4,per,0.054,1.043,0.056,56000000
2020,biden,4,B4,diem,0.054,1.043,0.056,56000000
2020,biden,4,B4,fee,0.054,1.043,0.056,56000000
2020,biden,4,B4,event,0.037,1.043,0.039,39000000
